Target (Train),Prediction (Train)
1.7808219,2.4367914
3.9013698,3.8306203
10.772603,12.029811
9.89589,4.8644304
0.038356163,1.1719571
3.3643835,4.9679775
7.627397,8.546204
3.2054794,2.733292
1.5863013,0.6890637
2.2438357,3.244934
5.9315066,6.115087
5.079452,5.401191
2.109589,2.697293
2.950685,3.546971
6.4356165,4.5898886
7.0383563,8.744162
9.608219,8.682642
2.1260273,3.0347583
3.1150684,2.9427314
2.9917808,3.2674756
4.50137,3.5013888
1.5342466,3.6681154
3.1342466,2.8333185
2.2219179,3.7202322
2.830137,0.9397045
2.860274,1.9591625
2.3945205,2.623005
2.8,2.487629
10.59726,9.979517
1.0136986,3.8093982
2.6904109,5.0769167
0.008219178,0.8805369
2.9808218,3.4106052
1.5123287,1.8166375
1.210959,1.5066824
4.39726,5.6485443
3.550685,1.2901897
7.3068495,5.7468843
5.589041,6.0461574
7.4438357,9.430131
11.063014,11.673661
8.99726,9.122765
6.0547943,7.1804113
7.183562,6.5195503
7.3013697,8.165642
5.5041094,5.2383604
2.789041,3.295705
5.0849314,4.9701266
3.4767122,4.667842
8.758904,7.631816
2.6027398,2.3898332
2.1945205,2.3137035
2.9753425,5.50503
2.0246575,2.6307716
6.879452,6.37807
2.9917808,2.4083836
6.5178084,7.703327
3.3890412,2.2002685
4.909589,3.968051
7.347945,6.2699094
3.3972602,3.937212
4.7232876,3.542873
4.4657536,3.419709
9.252055,5.5328712
3.569863,2.0007386
7.0958905,7.1111946
8.2,9.170761
4.169863,2.8734791
4.0164385,1.6053888
5.8767123,6.892813
0.010958904,0.94639397
3.9424658,3.171402
2.860274,3.3623915
8.479452,6.1970944
5.8739724,6.911253
3.8328767,3.4461212
3.2027397,1.4066701
2.2410958,1.7392137
4.9260273,5.027352
7.2465754,2.4103546
4.2739725,4.6808615
6.00274,6.588194
3.331507,2.406701
5.980822,8.783557
7.821918,8.720038
11.882192,9.547677
2.0027397,1.5330505
6.0328765,6.4379344
8.978083,7.1429415
6.0082192,3.9911418
1.2410959,1.8304672
5.4273973,6.62488
6.210959,8.088037
0.97534245,1.0923568
11.884932,11.854838
1.1041096,1.9746284
1.5479453,1.7808034
1.4767123,2.010951
11.931507,9.71227
6.021918,4.7279043
2.9315069,2.8014603
3.5616438,1.7688763
7.0410957,7.6719246
1.9780822,3.816421
1.5863013,2.6565857
1.2438356,2.7589152
5.158904,7.8044405
8.117808,8.626851
6.120548,6.264065
4.769863,6.7140417
4.287671,4.1011114
0.002739726,1.328619
2.5726027,3.6240273
2.131507,3.4591677
8.167123,8.128693
3.3890412,3.7001114
5.8575344,4.703877
11.194521,13.191025
0.019178081,2.366056
6.213699,5.681076
12.528768,11.718558
0.98630136,2.2266889
5.9123287,6.6300735
1.7205479,2.1746492
3.1068494,1.8097129
2.1753426,4.21558
0.9506849,1.6961255
3.671233,3.1008935
2.2164383,3.328136
4.293151,4.2281685
2.1753426,1.2768699
4.369863,4.71397
3.2438357,5.241682
1.3369863,1.8429902
10.046576,8.519305
3.7479453,5.091151
3.4164383,2.4089224
2.052055,3.0860248
1.9452055,2.4329467
1.4191781,1.3737681
2.3972602,1.9709741
4.928767,4.8125167
8.345205,7.137174
2.0027397,4.1763706
1.2273972,2.776649
2.6,3.4267902
0.021917809,1.1200436
4.9315066,4.726438
2.3232877,3.0722985
2.9315069,3.1596456
1.0109589,3.2554455
1.7561644,2.425477
4.279452,5.2185154
1.2383561,0.70737886
1.8219178,3.437677
0.5671233,2.9018931
6.232877,5.122675
1.2575343,0.86379325
15.230137,13.603667
1.3452054,4.897791
0.030136986,1.1788887
9.265754,9.44497
1.8054794,1.9055912
5.9589043,7.137506
6.021918,7.090137
4.742466,3.5653262
3.789041,2.4323888
0.20273973,1.6040713
8.186301,7.070913
9.857534,8.309082
3.7945206,3.03935
5.6164384,8.536975
4.309589,4.9657683
7.3808217,7.164777
5.923288,4.3970385
1.0082191,0.32397246
1.6109589,2.6902528
6.0136986,3.5186155
12.057534,10.264419
3.350685,5.9605846
4.7534246,2.3079824
1.4164383,1.4153556
1.1863014,1.922652
5.10137,3.3847978
1.3369863,1.5088422
2.6849315,5.492028
1.6,1.913769
5.923288,5.577729
3.0219178,1.8316646
6.230137,6.730802
14.863013,12.074205
4.052055,0.7332783
0.021917809,1.9282348
1.5835617,1.1412041
4.9835615,6.4735665
4.4246573,4.8997464
3.010959,2.3269627
3.528767,2.8917532
5.3534245,5.376649
5.9643836,7.394615
3.169863,6.0145874
1.9917809,4.0535774
3.5315068,4.4634275
2.1150684,1.970468
0.038356163,1.7027831
4.9671235,3.8934784
6.219178,5.1665854
6.079452,4.672418
1.8630137,1.3032846
2.589041,4.003166
8.1452055,6.99768
2.578082,2.8074827
4.939726,4.9027567
6.1753426,6.794548
8.30137,6.888053
9.126027,7.214921
2.9150684,3.1881382
7.369863,4.918307
3.0684931,3.562519
9.120548,9.794738
11.035617,8.852055
0.03287671,2.169857
1.5616438,1.8787428
3.5232878,4.9116936
6.336986,6.2170277
3.2027397,2.113998
2.4054794,2.9241197
1.5150685,1.0808711
5.0876713,2.6956859
3.30137,4.9547367
3.2301369,1.8601551
1.3041096,1.562352
4.180822,5.338651
12.756165,10.980931
3.709589,4.14295
1.7863014,2.2202854
4.0383563,4.456295
13.364384,10.143586
3.249315,4.862996
9.150685,8.341964
5.0465755,4.5572386
4.5424657,6.8073106
7.868493,8.027105
7.421918,8.170813
3.739726,4.186044
3.3863013,2.814908
4.49863,4.8364315
4.8465753,4.7349725
3.8109589,3.7140453
0.41369864,3.6775675
1.8027397,2.8806348
3.117808,3.6370292
6.1260276,4.1949115
5.1753426,6.5377645
5.558904,7.2475443
3.0712328,5.1215115
3.3342466,3.8149176
6.3452053,6.0036635
3.2027397,3.9298868
3.958904,4.161566
3.7369864,3.6466656
5.6739726,6.943528
1.3780822,3.085887
5.4958906,4.7677746
4.813699,5.8720655
15.131507,13.293006
6.3150687,6.161943
10.731507,9.180678
6.263014,6.6543665
3.950685,3.118556
14.742466,12.128249
6.320548,6.915161
8.227397,7.35875
3.5643835,3.4297938
8.364384,9.058107
1.5232877,0.33204648
4.419178,3.124047
0.11780822,0.4773856
6.049315,7.2259865
3.5123289,4.0951214
10.397261,8.601868
1.6328768,2.2341356
3.4465754,4.1387367
1.6821917,3.1832366
1.5561644,3.3081827
7.1424656,6.7850614
3.6082191,5.620967
4.8547945,5.694804
9.164384,9.981813
5.608219,6.6726923
5.2027397,2.8292706
12.090411,10.708931
5.7835617,4.684683
8.706849,6.2405386
1.6109589,2.0607069
4.317808,4.0324945
11.213698,7.442011
7.3342466,7.914777
2.8438356,1.2584302
3.6054795,2.8291879
3.5041096,5.616081
5.238356,5.3718367
2.1863015,0.36918455
3.6931508,2.6248662
11.40274,13.387984
3.169863,3.8490782
5.580822,5.562541
8.961644,8.480828
11.945206,12.141299
8.550685,9.25796
0.002739726,2.0167282
3.0082192,4.6719723
4.309589,2.3570678
2.158904,2.682024
3.4657533,4.7408566
5.4082193,6.2495875
2.841096,3.5292945
3.010959,2.8085694
3.6246576,5.6472635
6.0684934,5.352196
12.142466,12.695314
6.4438357,6.901966
3.7232876,1.357305
6.312329,7.095634
0.9972603,2.2509217
10.2,10.443876
4.019178,3.6511204
6.4273973,6.400395
8.487671,9.208908
3.2575343,2.702345
3.6356165,4.7486897
2.5972602,2.3730755
1.0821918,2.0010793
1.8547945,0.5709444
4.367123,5.014243
3.9232876,5.0494647
0.44383562,1.8867663
1.7260274,2.7580538
6.219178,6.961471
6.9643836,6.364787
5.347945,4.6812696
2.6821918,-0.5178412
2.6904109,4.566285
2.430137,1.2740945
0.03561644,0.34934747
2.969863,3.1604166
4.131507,5.1597958
11.731507,11.260648
8.4356165,6.2191367
11.545205,12.010079
2.8547945,3.591322
6.0739727,4.895402
0.6328767,0.9265528
14.386301,15.421562
6.2246575,8.228578
0.02739726,0.6042646
5.4027395,6.1804814
0.17260274,3.567192
7.449315,5.9363713
5.7479453,6.2052445
5.2246575,5.2196574
6.2958903,6.1576424
4.3150687,1.3569111
3.2958903,5.3880477
8.394521,8.666763
13.443835,11.719898
2.8547945,3.026357
4.558904,4.2639365
7.3013697,6.4325547
10.539726,9.712021
2.868493,4.5288243
5.021918,6.423264
7.712329,6.292877
1.4027398,0.9324094
5.523288,5.262471
2.0767124,1.9611824
3.1726027,3.3992367
8.0,6.425722
1.3068494,1.7951133
3.8575342,3.304927
2.7561643,2.909168
0.6821918,2.3559961
0.063013695,0.82840335
6.446575,7.1009026
6.232877,5.2397327
3.9013698,3.7124493
4.082192,5.3558683
3.2767124,3.868279
5.39726,3.900226
1.4575342,2.3871841
9.764383,9.394233
1.860274,1.7255657
1.9369863,2.4542074
6.5561643,6.1973753
3.4410958,4.1463346
2.0191782,4.7886925
2.8356164,1.6081444
3.5178082,4.5228157
5.890411,4.8517327
2.1041095,2.5196958
6.4958906,9.348432
6.0054793,5.1679263
2.7534246,1.9968894
1.0383562,1.9732876
1.860274,3.7998176
11.432877,11.381428
0.019178081,1.5742898
4.7178082,5.991309
2.2575343,3.2544885
3.5232878,4.226631
3.0328767,2.8286176
3.471233,3.3712611
5.7561646,3.3727612
6.235616,5.782728
5.8246574,5.7371864
8.4356165,8.553494
4.4383564,4.702758
0.03561644,2.1320238
3.6219177,3.7389305
6.6931505,3.6659172
1.6876712,2.1740847
13.635616,12.5333185
12.117808,10.630593
2.5835617,2.3519034
4.320548,3.399494
2.6136987,4.839734
2.7260275,3.1231003
9.271233,7.297017
9.504109,6.134558
9.027397,8.542951
9.1452055,8.285651
2.7178082,0.38182813
1.9753425,1.896064
9.164384,9.804308
2.419178,4.4297705
1.9178082,2.712599
12.479452,12.437345
4.8821917,4.666089
1.5369864,2.077025
1.520548,2.2863402
0.44383562,2.3651447
8.605479,6.579231
5.3150687,7.097374
2.0465753,3.251175
1.7068493,1.9033976
7.287671,7.5129824
3.0657535,1.7060192
2.2164383,0.84194934
10.939726,11.267363
7.4082193,5.766698
5.589041,8.400718
5.7260275,3.9684787
5.421918,5.741399
1.1835617,2.0287726
2.1835616,3.7427006
2.9561644,3.6711195
9.052054,6.0323977
4.39726,4.094554
6.868493,4.8800716
2.5123289,3.0509677
10.30137,8.23896
9.410959,6.447748
3.0246575,3.561458
5.1452055,7.1783037
3.4328768,3.2443695
3.4054794,3.0976684
6.2,6.8003893
3.6931508,2.3123367
3.1506848,2.7941518
2.090411,2.1343646
3.7835617,4.219308
7.652055,9.24232
0.021917809,2.526266
3.6082191,4.185159
2.6849315,4.424294
0.4410959,2.263896
5.950685,7.3333178
6.1232877,4.967302
1.6958904,1.4078922
6.509589,7.038062
5.580822,4.771136
2.0547945,2.646727
10.2739725,8.657669
3.2575343,4.0228453
2.490411,1.8366486
5.0410957,4.9352818
2.3424656,2.0761094
9.652055,3.346561
7.5917807,8.142559
8.8,8.0842285
5.923288,7.2906303
9.073973,7.5499706
10.819178,9.103638
10.082191,9.275165
6.9616437,6.4364767
3.8630137,3.069684
5.0438356,4.996697
7.4849315,7.807876
1.5972602,2.277474
2.709589,3.9785924
4.4958906,3.5158348
7.4164386,7.1601787
4.920548,4.500963
6.4876714,5.6256676
3.5534246,0.50924313
6.558904,7.8856416
8.917809,9.671621
8.632876,6.4571834
3.8547945,2.2602096
2.460274,3.0752153
4.969863,6.8371553
8.010959,7.5157313
7.786301,7.607922
12.328767,11.534772
2.0630138,3.9736824
9.964383,8.765868
7.490411,6.3755426
10.087671,10.134204
3.4136987,5.5963345
9.728767,10.936994
3.128767,2.8405914
4.139726,3.5332975
2.9671233,2.8487153
4.3945208,4.2897816
3.238356,3.978641
2.2246575,2.6262808
12.339726,10.922428
4.2164383,4.58355
6.213699,7.487179
1.7835616,3.278655
4.4164386,5.7987885
13.471232,11.08847
5.312329,5.1324143
0.9424658,0.865058
7.8630137,8.916064
12.353425,14.6522875
3.4164383,4.91619
4.942466,5.206954
2.3150685,1.9667878
2.079452,2.7768352
8.353425,5.9912934
0.97534245,1.4091614
2.6273973,2.9280736
2.6849315,3.4955652
0.03287671,0.61609674
3.2191782,1.7919228
2.830137,3.4565864
6.5835614,5.44666
2.9561644,4.240268
3.9150684,3.95289
6.8246574,7.0348234
9.158904,10.487915
8.410959,7.0156198
9.424658,8.969736
5.6739726,5.329458
4.8547945,3.3930755
1.6767123,0.6804286
4.9671235,3.6048536
2.6438355,3.1785955
8.6931505,7.915063
3.0712328,2.889684
4.6356163,4.816752
5.3342466,6.4694295
2.720548,2.8310003
4.909589,8.991961
2.6383562,3.7202027
7.309589,5.686781
0.42465752,1.7325149
6.1342463,4.8263817
3.3616438,3.6419935
6.739726,6.063616
10.131507,6.9972873
3.079452,4.690632
3.3424656,4.5446315
7.808219,8.092379
3.4520547,3.3152015
0.002739726,0.24568689
3.679452,5.021022
6.347945,5.731467
2.4547944,2.5717688
2.0219178,3.7225575
6.9671235,6.977589
11.142466,11.36016
5.9369864,7.8163786
0.01369863,2.6143422
15.221918,13.804147
2.3643835,2.6932135
0.038356163,2.8073907
5.8876715,5.836052
8.936986,7.8922567
3.0876713,4.4898343
7.663014,6.696121
2.4383562,2.8825603
7.8630137,6.358877
3.30137,2.8490849
7.1753426,6.4434805
7.0958905,6.2418537
2.1452055,4.0278563
3.6849315,5.2101526
2.7808218,3.3054566
3.331507,4.878374
2.2191782,4.4595
3.2876713,4.3009005
3.1479452,3.4085913
4.0246577,3.544219
3.279452,2.6644757
3.0465753,3.6819477
6.879452,4.1007824
4.6356163,3.158999
0.4219178,1.6835418
1.4575342,3.2960017
1.1315068,1.1163461
1.3315068,3.225489
3.6739726,5.0098457
5.9643836,8.168323
0.42465752,4.640591
2.539726,2.870772
6.4547944,6.0710373
7.441096,7.3042912
3.8383563,4.5155907
3.7013698,4.295985
2.578082,3.1472607
3.6054795,3.59269
8.164384,7.3999453
4.052055,1.7355852
2.9808218,2.6380506
4.6219177,5.663976
0.010958904,0.72481596
3.9123287,4.8015914
5.1945205,5.119088
0.8931507,2.111602
7.838356,8.039743
12.265754,11.331805
8.021917,6.2796574
3.720548,4.224666
0.92054796,1.5138317
5.5753427,4.445421
1.920548,2.0884166
7.682192,8.436899
2.8438356,4.382886
0.101369865,0.6091323
12.235617,12.57954
1.939726,1.4830389
12.868493,12.819372
3.2821918,3.1425202
2.210959,1.656013
1.9013698,2.9235601
10.59726,9.83219
1.6356164,2.1418505
3.5452056,4.364975
5.2,6.699135
0.01369863,1.861208
6.531507,6.115199
3.3041096,4.818902
2.589041,2.1748526
5.909589,6.0395536
6.7506847,3.9849825
6.0410957,4.3113003
11.350685,11.784512
8.468493,6.681457
8.665753,7.881633
3.9945207,2.3727612
4.980822,6.37321
6.2438354,8.980982
2.761644,5.1551785
6.186301,4.8065176
5.6,5.169777
8.175343,5.615713
4.00274,3.798643
3.4849315,3.3130636
1.3917809,0.9260415
2.380822,1.5908734
7.260274,7.879369
9.238357,9.229125
2.947945,4.4092603
2.9917808,3.3506315
1.4630136,2.5927615
9.153424,9.534653
4.5835614,4.3529863
6.9452057,7.4868345
1.5068493,2.8127484
4.5068493,5.6979103
6.156164,9.798764
6.7342467,5.569748
2.2164383,1.6032269
10.923287,6.6809177
7.860274,7.139447
6.139726,6.6658583
9.931507,10.536957
6.9835615,6.075822
0.6356164,1.0130349
6.558904,7.0066247
5.419178,5.2375154
1.3150685,1.5759265
3.7178082,5.443746
2.6328766,3.5791621
7.6931505,3.7424583
10.758904,7.183563
6.3863015,5.8622108
3.4767122,4.1704197
5.7178082,7.54438
4.767123,5.4960737
2.3232877,2.8157654
9.068493,9.79021
12.350685,12.687326
9.076713,8.494629
7.9863014,6.158966
10.008219,6.4706635
0.93972605,0.9839676
5.8657537,6.924355
4.0246577,4.659482
9.126027,9.6778
3.5232878,1.6381329
3.0082192,1.5087248
1.6109589,2.4917903
5.131507,4.5957785
6.690411,4.449641
11.638356,14.41344
7.358904,4.1599016
8.386301,8.9389515
6.0684934,5.3264666
5.709589,3.331829
13.167123,12.194831
6.5917807,8.0931635
9.320548,7.7607145
1.8410959,0.9292921
0.92876714,1.265006
3.0575342,1.4202443
2.679452,5.190267
3.1643836,2.7515967
3.030137,2.63412
3.1369863,3.163382
1.0438356,3.3799229
5.241096,6.50138
1.8958904,1.6529982
4.490411,4.423666
5.706849,5.274725
7.5671234,6.75432
2.2821918,5.486777
3.369863,4.595479
3.117808,4.018068
3.7945206,6.1897116
3.7945206,4.2415752
3.7178082,3.6217356
1.2602739,3.2188373
4.317808,2.6865783
6.4136987,5.489398
0.9232877,1.1870651
5.4657536,4.993104
5.758904,5.641423
5.657534,5.6890574
5.627397,6.8693414
0.008219178,2.0778983
1.9561644,2.0288875
2.1369863,3.8749022
2.9917808,3.9211693
4.3150687,4.083279
5.336986,8.434389
5.235616,5.7619085
1.5726027,2.1787882
5.9041095,4.727325
9.654795,4.274619
2.410959,2.420892
8.868493,8.357732
1.8986301,0.7514013
13.427398,11.5316105
9.153424,10.22031
3.5863013,5.1543765
3.8054795,4.721043
2.6,1.1851629
1.3178083,1.2647882
2.430137,3.578895
2.7589042,3.4901853
3.679452,4.538729
