Target,Prediction
3.052055,2.8273175
2.0876713,3.4256258
2.9753425,4.9142637
2.5205479,3.1812718
5.257534,5.004206
2.7369864,2.6642904
2.0876713,2.2860827
3.290411,6.1942196
3.3150685,2.6258676
4.3863015,3.9653258
2.030137,4.0520883
6.082192,5.639882
3.2027397,2.8767264
2.0931506,2.3757825
6.0630136,5.7656937
3.969863,4.2601404
2.0,2.7801313
5.471233,5.568128
7.446575,5.571003
3.471233,3.5361185
5.446575,3.538994
1.9753425,0.77938104
3.7452054,5.9780273
2.052055,1.9813128
3.8958905,5.3565044
3.6383562,4.630296
8.665753,7.6587977
5.027397,3.6966248
2.1972604,3.5573885
5.0164385,6.9951277
7.2027397,11.781211
2.819178,4.29071
5.0054793,9.076795
2.4356165,3.8397992
1.1726028,0.6949354
2.2273972,2.0421033
3.1863015,6.8133197
3.7123287,5.084486
2.30137,2.3017204
5.241096,4.944472
2.939726,3.3948815
2.010959,3.8757708
7.1726027,7.2586823
5.161644,4.0867
3.139726,2.6691298
1.6794521,0.63920027
2.3780823,3.261073
5.5424657,5.014725
3.1643836,2.5106094
3.1972604,1.3068867
1.4876713,1.2514334
3.6438355,4.058224
2.3589041,4.829979
2.0958905,1.564577
5.1424656,5.950703
6.764384,5.472507
3.0465753,5.083697
4.6684933,4.605501
1.6219178,0.2443238
1.660274,2.2938895
1.0054795,3.0051966
1.4,3.5813143
4.4849315,5.1690135
7.9534245,9.162401
10.890411,11.292021
3.4684932,4.707238
6.4054794,6.836858
2.9369862,2.8718522
2.4054794,2.6590853
0.019178081,1.9936155
1.079452,2.7123032
2.1369863,3.343229
1.060274,1.5121927
2.117808,2.1431189
1.0575342,1.4331017
2.3534245,0.914733
5.7945204,6.0064754
2.0821917,5.52639
3.7424657,3.7937322
0.58082193,1.7215846
4.468493,6.217735
3.8876712,5.3768516
2.4821918,3.2248425
4.1671233,2.3602746
3.7589042,3.4241626
1.1534246,1.0774481
4.3068495,5.333547
3.410959,1.8832074
5.019178,7.537602
0.59178084,0.087328844
1.6630137,2.884047
4.0246577,5.3024583
2.3616438,3.3180902
3.9123287,4.199501
1.9369863,3.5159228
1.3315068,1.9595243
3.9123287,5.0490236
3.4328768,2.7985523
2.3369863,1.9243051
5.8054795,4.6455307
3.4684932,3.467794
2.8136985,9.127192
3.5452056,3.5948925
7.0547943,12.82851
2.1123288,2.1311183
6.2739725,8.257056
9.358904,15.068837
3.0849316,7.6492925
2.3616438,1.2210706
9.238357,8.290331
6.8767123,7.7297773
5.526027,5.6197767
2.0054793,1.6743712
4.5452056,4.786717
2.539726,3.9749694
