Target (Train),Prediction (Train)
3.3835616,1.8377539
1.8082192,1.8067724
3.6054795,3.4787385
4.0246577,3.256559
3.0684931,3.077033
7.652055,8.6871805
2.2191782,2.2939644
0.80547947,1.3343663
8.79178,7.5207124
2.9917808,2.2413974
3.0328767,2.4145863
5.843836,4.964293
0.043835618,0.91854846
5.720548,6.9605985
6.7972603,6.3064537
9.679452,5.759954
3.331507,4.5945497
2.8246574,3.8377142
2.0082192,2.885313
6.1178083,3.9404962
2.0191782,4.504448
0.03561644,0.22060186
3.369863,4.1098056
10.180822,9.400844
0.06027397,1.0870731
6.1424656,5.4961996
4.9671235,4.112849
8.021917,6.17887
2.7068493,3.1846874
1.9945205,0.58276755
2.578082,2.4255323
3.079452,4.402403
3.6219177,3.6621313
2.649315,3.921525
7.4958906,7.02234
5.920548,4.8018184
5.0356164,4.589489
1.2575343,0.5546539
6.5643835,4.293374
0.010958904,0.98782676
10.010959,8.645886
5.421918,5.140911
4.6219177,3.7227178
3.0082192,1.605939
1.939726,2.2192993
4.9917808,4.6521673
5.109589,5.1976743
4.742466,4.1438875
9.868493,8.144491
8.936986,7.261592
9.931507,9.10199
6.339726,6.550567
3.1835616,3.0150874
6.186301,4.4592695
1.0356164,1.106703
3.260274,2.8590174
3.528767,3.6452136
9.432877,9.610795
2.2575343,2.6550882
3.5123289,4.002323
4.312329,4.5096927
0.02739726,1.1671679
1.1561644,1.2229553
5.241096,6.1135364
3.7561643,5.1515613
3.1260273,3.3972087
4.230137,5.2515783
1.4383562,1.8732281
3.3232877,1.8171477
12.479452,13.345284
6.0547943,6.8000736
4.079452,3.5683486
8.915069,8.690542
7.627397,6.836578
5.632877,1.8949327
7.720548,4.578557
9.539726,6.2253575
10.986301,9.2680645
10.230137,8.731015
6.4164386,5.4584036
3.2986302,2.996107
3.0273972,2.349277
5.580822,2.371629
9.336987,7.355178
4.9561644,4.654109
4.2739725,4.635799
2.2438357,2.2721438
2.6849315,2.8221154
2.868493,1.6945322
4.5424657,3.5804226
5.641096,4.963959
6.09863,4.306379
4.0684934,3.224543
3.5178082,2.9933672
7.4027395,6.460433
3.630137,5.4795218
8.249315,7.7539954
6.4082193,5.910904
3.6739726,3.7365332
4.5561643,3.2089112
3.1643836,2.764513
1.9452055,1.876591
3.2027397,3.0786576
3.0438356,3.231045
6.0136986,5.9280176
3.3342466,2.7602372
7.1369863,6.670171
5.10411,5.309143
10.378082,9.525032
5.2465754,4.2373266
4.2547946,4.2607865
0.019178081,0.4151698
1.0136986,3.5345926
6.230137,6.645737
0.038356163,1.8349583
0.019178081,-0.05475205
1.2465754,0.30157757
6.4575343,8.291417
6.235616,5.6202555
2.5123289,2.526165
4.0383563,4.3202043
2.5315068,2.40791
5.7150683,6.110655
5.1945205,4.785539
3.3095891,3.1738658
0.03287671,2.1445432
3.0739727,3.6664255
2.0465753,2.650943
3.30137,4.1810346
6.1260276,3.8689137
9.665753,10.880889
7.241096,6.6900377
6.9561644,4.952604
8.665753,6.28911
4.4273973,4.606616
2.2438357,1.7371454
3.4821918,1.6086903
4.4164386,3.4069412
2.2547946,1.6230278
2.1616437,1.3343039
0.019178081,1.352299
0.97534245,1.9706025
4.813699,4.7226825
0.03287671,-0.69722706
3.3863013,3.2801423
0.002739726,1.7084291
1.3150685,1.3049995
3.7178082,4.4829946
9.317808,7.1872625
6.4246573,5.9498134
4.2438354,5.2445216
6.39726,5.314456
0.019178081,1.4260411
11.709589,11.466591
9.361644,7.895748
8.8,7.9582434
0.46027398,1.0548072
5.3534245,4.706136
11.882192,9.658892
2.2164383,0.8133698
5.890411,4.4621005
3.5232878,2.095839
0.010958904,1.0272677
8.364384,8.39481
4.00274,4.6181855
1.6109589,1.6431971
1.1479452,0.9358957
7.520548,6.6624284
3.1068494,4.908307
9.635616,9.260372
2.079452,2.5091164
3.1068494,2.3024964
12.057534,10.339152
6.263014,5.9859347
