Target (Train),Prediction (Train)
1.6,1.1871957
9.70137,7.768725
3.2,2.2853422
5.391781,3.9199374
13.186301,11.371019
3.331507,4.06486
1.7917808,1.8375311
3.7178082,2.5042026
1.2547945,2.247253
5.630137,3.705443
9.180822,6.3241115
7.509589,6.232478
6.3863015,5.0541825
8.89589,7.2594633
4.057534,2.1809092
7.630137,7.0048246
3.630137,4.869073
9.931507,8.276449
3.3452055,3.666929
3.3643835,4.4693904
3.1452055,1.6409934
2.8547945,2.9007802
6.271233,5.806796
0.9972603,1.5820514
3.4410958,2.9127917
2.2575343,2.0788841
3.5643835,3.0647545
0.101369865,-0.1064983
13.194521,9.2568865
8.254794,6.257609
9.375342,8.081323
5.4027395,5.7272105
4.9671235,3.771422
1.0520548,1.6815171
13.471232,12.242349
0.03561644,1.2162108
2.339726,3.3695006
8.479452,5.668119
2.739726,2.08389
2.8876712,3.218074
6.7342467,4.7008805
9.5643835,8.512372
3.789041,2.9920006
4.0164385,1.870539
9.252055,7.8684983
5.3315067,4.5430875
3.5863013,2.246635
2.830137,2.2270799
5.9753423,7.014518
6.789041,6.07147
7.4821916,5.4535723
3.049315,3.1204586
4.641096,2.7196696
4.317808,3.0120752
1.920548,1.4841146
8.09589,5.158574
6.180822,4.559651
4.4273973,4.7279234
3.2986302,5.5462923
11.147945,11.062451
0.03561644,0.031215787
3.4684932,3.8174508
5.0356164,4.3285894
7.569863,5.20403
2.578082,1.3112247
3.6164384,4.3346105
0.016438356,0.8506886
2.9178083,2.5445962
8.468493,3.1653357
1.0739726,1.5818102
5.706849,3.8192341
3.4630136,6.7113113
0.11232877,1.5108628
6.3863015,4.578898
3.709589,3.488923
9.167123,6.8154564
10.539726,7.316639
6.241096,5.0513473
1.6273973,1.367091
3.0712328,2.7532432
2.3452055,2.972774
5.690411,4.83858
4.7506847,4.9179554
1.8054794,1.8260894
5.7260275,3.6861672
6.1178083,5.497537
3.7972603,1.8106608
0.20547946,1.5366508
2.9452055,1.6672542
2.1424658,1.8667736
3.4356165,3.6759913
1.619178,1.4324148
2.4958904,3.4200656
3.449315,4.763996
4.942466,5.116449
7.027397,5.955201
5.923288,4.699153
