Target (Train),Prediction (Train)
7.7260275,6.8709598
1.1616439,0.33298808
7.8,9.12672
0.03287671,-0.5274957
3.169863,3.726428
1.9561644,2.3425794
5.7506847,6.6513395
3.0054793,4.1926355
3.3863013,3.601517
4.3287673,3.250633
4.309589,1.9354553
1.3369863,1.4519098
1.7753425,1.382921
5.139726,3.3370588
1.5150685,1.3449256
12.778082,10.838508
5.9945207,3.2936845
2.6821918,0.74693304
3.3369863,5.2891793
2.6958904,1.2175273
0.80547947,0.68729204
10.704109,7.6549244
5.709589,3.4299502
2.8657534,4.426305
1.7726028,1.8265116
2.589041,1.8397628
9.663013,7.3895483
1.3178083,1.2857069
4.0684934,4.02799
1.2520548,1.4998308
6.1178083,3.904818
0.019178081,1.18489
5.791781,6.830948
3.7287672,3.2892115
5.1232877,4.8286886
9.736986,6.671675
2.8,3.805531
7.358904,4.396966
2.0465753,2.555453
8.846576,5.7899947
4.019178,3.6411958
4.389041,3.5264797
3.739726,3.5315504
4.449315,3.4919686
3.5561643,2.6808987
2.9561644,2.6756623
2.1506848,2.5617146
1.5123287,1.4873999
2.9315069,2.7771795
2.5616438,0.74272144
1.5342466,2.19066
1.8794521,2.3815932
3.410959,1.2832716
6.219178,5.3257427
3.7479453,2.7996333
7.441096,5.948112
0.9123288,0.60222566
2.249315,1.9816451
9.523288,6.381437
10.967123,8.323483
3.5643835,3.1431875
2.010959,2.2437966
12.616438,10.515496
5.4657536,5.5008283
7.523288,5.7387676
1.2054795,0.74992067
2.1753426,3.271442
9.043836,7.557495
2.8,2.0991588
9.964383,7.205547
3.4547944,5.0870895
1.0739726,1.4809498
5.6986303,5.7064
2.0657535,3.1938243
0.01369863,1.1457621
9.169863,8.989923
3.030137,2.8779137
9.90411,8.882066
3.3479452,2.746759
4.641096,3.5415864
6.0684934,5.361973
6.367123,4.9945354
2.2575343,2.6376882
4.3534245,2.1863067
4.6219177,3.4589984
4.813699,4.5157332
3.1342466,3.1343138
6.09863,4.1032143
11.550685,11.084557
9.432877,9.725193
3.9863014,5.0005026
2.131507,2.71075
9.504109,5.7878036
6.4054794,3.6856058
5.8547945,5.497547
1.9013698,1.3688531
4.369863,4.3020306
2.591781,1.5644003
3.0684931,3.1969438
0.20273973,0.8815478
11.756165,10.133249
3.2931507,4.1301928
0.9808219,1.0927507
4.742466,4.49282
3.969863,4.551992
2.3452055,2.896925
1.1726028,0.09087944
3.4630136,4.5727215
6.347945,7.10161
8.021917,6.468129
6.3780823,8.0801935
7.6931505,5.9562187
1.1260273,1.3731523
3.0328767,3.4816647
2.5945206,0.567862
0.17260274,1.8337021
3.7178082,5.2237053
3.6273973,3.697685
7.6246576,5.0734625
4.4273973,4.3987465
5.923288,5.711508
1.860274,2.7648659
4.909589,5.638439
1.3068494,1.6083593
11.035617,8.272721
3.1232877,4.3038707
9.320548,7.7796803
3.1232877,1.5220156
4.309589,4.685402
7.3342466,5.3716693
1.1561644,1.5490077
9.2109585,4.5189357
3.2986302,4.129988
2.2246575,1.2482674
5.5150685,4.554845
1.6876712,2.0827968
10.923287,6.830329
10.164384,10.500131
3.1068494,5.254246
1.7205479,2.064848
3.2054794,2.446107
3.490411,2.3159204
1.0027397,1.3232361
1.9232876,2.0517292
9.358904,7.0916147
4.2438354,5.1065326
4.230137,3.8574576
8.468493,4.3870306
0.01369863,0.34214813
4.317808,2.3814187
4.4082193,4.874427
15.334247,13.466015
10.819178,8.789171
5.10137,2.8090062
4.2547946,4.348407
5.608219,5.742717
0.038356163,1.006878
2.1835616,2.9526289
3.131507,2.616778
1.6109589,2.584435
11.194521,12.901177
0.038356163,1.2532208
3.279452,1.8928722
10.879452,7.8850427
2.419178,3.0217948
1.1150684,0.94382715
9.252055,6.1973095
5.589041,5.5201707
2.2328768,2.3290734
9.657535,8.034635
0.9890411,0.83759785
2.2438357,1.224159
5.9123287,7.1616507
2.0027397,2.2326698
5.8465753,5.326643
9.128767,7.9622326
1.5479453,2.3729224
3.0136986,4.4125876
6.2438354,8.774948
4.0684934,3.3798704
2.9726028,3.8775382
3.279452,4.9413376
1.4931507,1.5893619
3.8109589,2.9150825
0.06027397,0.13623077
3.1013699,1.6466908
0.038356163,2.0044386
3.3260274,3.6444063
8.8,7.6744804
11.10411,12.373444
2.8876712,1.6466552
5.758904,5.1650257
5.6164384,5.225422
8.79726,6.3944917
2.8438356,1.0520122
6.0739727,5.380474
4.178082,2.0494661
5.8739724,6.416311
2.4547944,1.9104095
4.10137,3.5448318
4.9671235,2.9733033
6.235616,5.304862
7.0383563,6.492816
2.9452055,2.0322254
0.46027398,1.5476161
5.980822,7.6563826
6.290411,5.3441358
5.178082,5.2419825
12.117808,9.745219
6.9835615,4.884352
6.5041094,4.4606447
6.9561644,4.880134
12.00274,10.560571
3.4465754,2.4789455
3.490411,5.1429644
3.169863,5.626142
13.471232,11.652674
6.057534,4.549657
6.868493,4.73783
5.1945205,5.1745214
0.22191781,1.7622448
3.2410958,4.6201634
9.424658,5.5116124
5.060274,5.8463974
5.9041095,4.316183
4.764384,2.903511
4.764384,4.5144453
6.786301,4.6204696
4.430137,2.6375785
2.0246575,2.3163629
2.2219179,3.3604636
3.7150686,2.8062568
6.2821918,3.8277602
2.2191782,2.0515928
5.3945208,5.0461564
8.353425,5.1256485
2.9917808,3.6128716
1.090411,1.2520134
1.5369864,1.6600282
3.128767,2.7113008
3.8164384,3.818792
5.843836,5.385074
3.7178082,4.9242926
0.03561644,1.3329722
3.2821918,2.6497545
2.8520548,1.8491806
9.926027,6.408439
10.758904,7.373047
9.635616,9.7543
6.4383564,4.449654
5.1972604,6.003359
1.3205479,1.5885475
5.767123,6.0491037
2.6383562,3.0228586
4.082192,3.8381639
10.30137,6.042255
0.002739726,1.8305513
13.186301,11.871963
6.1753426,6.700495
11.663013,10.89225
5.2,6.0703974
1.3260274,1.6245018
2.6273973,4.0868053
9.830137,7.287112
8.339726,7.6375995
2.8164384,1.2355227
6.4821916,4.4133615
3.3972602,1.2161052
3.2986302,6.750258
3.4465754,2.96104
2.9917808,2.9882708
3.331507,2.3789265
4.419178,2.8541312
5.131507,4.3355904
5.868493,5.554983
1.2164384,1.7466177
9.167123,8.110601
6.638356,4.436652
6.879452,6.0641026
5.3534245,5.365354
3.3643835,4.1465297
6.808219,6.207087
2.528767,1.4012977
1.8630137,1.4031054
8.1452055,6.8204255
3.9013698,3.8700285
6.3452053,6.2265954
1.830137,1.5104722
3.0328767,2.64267
2.8136985,3.6532772
4.6191783,3.6729336
4.928767,4.7063303
1.0136986,3.519764
5.120548,4.1630707
2.4383562,2.910167
4.7835617,3.405178
3.7945206,3.3571453
3.0712328,2.5070395
1.860274,0.6924669
3.671233,3.2284
3.1726027,3.712438
6.3260274,4.26059
3.3178082,2.249951
4.5068493,4.191862
3.010959,3.0609994
0.038356163,0.9113071
3.090411,4.0978403
9.706849,7.7299776
4.8876715,3.9158072
0.33972603,1.0078216
2.0739727,3.7338054
4.180822,5.0077143
2.010959,1.8213674
5.939726,3.354441
3.4136987,4.9381
0.01369863,1.0060946
3.5041096,4.162676
6.578082,5.2877135
3.4767122,4.028123
8.986301,7.59773
12.271233,11.417062
3.947945,6.227699
4.367123,4.3040333
1.8054794,3.3658924
